VIN,Make,Model,Year,Variant,Body_Type,Color,Fuel_Type,Transmission_Type,Engine_CC,Price
Hz60976573851,Tesla,Model S,2024,Sport,Sedan,Gray,Petrol,Manual,2500,57354
GX86546660591,Tesla,Model Y,2020,SE,SUV,Black,Electric,Manual,1500,44142
zD45822556346,Honda,CR-V,2023,Sport,SUV,Gray,Diesel,Manual,1800,64396
nI71092956308,Tesla,Model Y,2024,SE,SUV,Gray,Petrol,Automatic,1800,41493
Jz64066101702,Ford,Mustang,2022,Premium,Coupe,White,Diesel,Manual,2000,48480
TH76713801600,Tesla,Model 3,2024,Sport,Sedan,White,Petrol,Automatic,1500,32036
kF60402750446,Toyota,Camry,2019,Premium,Sedan,Gray,Hybrid,Automatic,3000,45040
Vu54389838193,Honda,CR-V,2024,Premium,SUV,Black,Petrol,Automatic,2500,43373
TG24403675299,BMW,X5,2022,Sport,SUV,Blue,Hybrid,Manual,1500,58932
fB02929750631,Tesla,Model 3,2019,Sport,Sedan,White,Hybrid,Manual,1500,55758
tX42310290434,Tesla,Model Y,2020,Sport,SUV,Blue,Hybrid,Automatic,1500,23096
tT25738558893,BMW,3 Series,2022,XLE,Sedan,Blue,Electric,Automatic,1800,25249
ld22427397891,Ford,Explorer,2024,Premium,SUV,Red,Hybrid,Manual,2500,73663
KY92489099121,Toyota,Camry,2022,XLE,Sedan,Blue,Diesel,Manual,1500,72943
ME85083804144,Ford,Explorer,2019,Premium,SUV,Blue,Petrol,Manual,3000,33791
LO82590398578,Tesla,Model 3,2022,Sport,Sedan,Gray,Petrol,Automatic,2000,63943
Xo03525835983,Ford,F-150,2021,XLE,Truck,Gray,Electric,Automatic,1500,37848
XL71000477261,Honda,CR-V,2022,SE,SUV,Blue,Petrol,Automatic,2000,47859
Zf72179316481,Honda,Accord,2024,SE,Sedan,Black,Hybrid,Automatic,1500,39702
lC42639267841,Toyota,RAV4,2019,SE,SUV,White,Hybrid,Automatic,2000,34653
sm24701594748,Ford,Explorer,2018,SE,SUV,Gray,Hybrid,Automatic,1800,43449
we41912363325,BMW,3 Series,2020,XLE,Sedan,Gray,Electric,Automatic,3000,30953
ml93041661548,Honda,Accord,2025,LX,Sedan,Black,Hybrid,Automatic,1500,69895
WF48616208036,Tesla,Model S,2025,XLE,Sedan,Gray,Diesel,Manual,2500,77978
OK33305204903,BMW,X5,2018,SE,SUV,Blue,Electric,Manual,1500,28525
FJ94139375113,Toyota,Camry,2022,Premium,Sedan,Black,Electric,Manual,1500,23118
eR50494666832,Honda,CR-V,2025,Premium,SUV,Blue,Electric,Automatic,1800,50837
qq97811676101,Ford,Explorer,2021,SE,SUV,Blue,Petrol,Automatic,1800,23434
Yy09859192368,BMW,5 Series,2019,Premium,Sedan,Blue,Electric,Manual,1500,46304
yd38047336063,Ford,Mustang,2021,SE,Coupe,Blue,Diesel,Automatic,1500,54444
Tp97115628484,Tesla,Model S,2025,XLE,Sedan,Black,Petrol,Manual,2000,45594
qk78855774071,Honda,Civic,2020,SE,Sedan,Red,Hybrid,Manual,2000,38087
yY15586846787,BMW,X5,2025,Sport,SUV,Gray,Petrol,Automatic,2500,77224
hk93713325170,Toyota,Corolla,2021,Sport,Sedan,Blue,Diesel,Automatic,2000,75960
eP35548737808,Honda,CR-V,2025,XLE,SUV,Red,Electric,Manual,2500,40726
rK48964146913,Tesla,Model 3,2022,XLE,Sedan,Red,Diesel,Automatic,1800,21242
Xw27807589378,Honda,Civic,2023,LX,Sedan,Black,Electric,Manual,3000,27958
UU44884799352,BMW,5 Series,2022,Sport,Sedan,Blue,Hybrid,Manual,3000,23800
PC20728793304,Tesla,Model S,2020,SE,Sedan,Blue,Petrol,Automatic,3000,36324
cx22626279529,Tesla,Model S,2020,LX,Sedan,Black,Electric,Automatic,1500,56317
JJ05879378084,Tesla,Model 3,2023,SE,Sedan,Red,Electric,Automatic,2500,63785
sH70329478727,BMW,3 Series,2022,LX,Sedan,Red,Hybrid,Automatic,2000,36095
Fr28316106087,Toyota,Corolla,2024,XLE,Sedan,Blue,Hybrid,Manual,2500,64928
mz18639720029,Tesla,Model S,2020,XLE,Sedan,Blue,Electric,Automatic,2500,77485
Yn52636015410,Toyota,RAV4,2022,SE,SUV,Gray,Hybrid,Automatic,2000,41109
Wi95164277788,Honda,Civic,2024,LX,Sedan,Black,Petrol,Automatic,1500,46791
rL29100048165,Honda,CR-V,2025,SE,SUV,Gray,Hybrid,Manual,3000,35475
fw93285128211,Honda,Accord,2023,XLE,Sedan,Gray,Electric,Automatic,2000,54083
Sf68087777607,Honda,Accord,2023,XLE,Sedan,Red,Petrol,Manual,1500,44073
ki42890135471,Toyota,Corolla,2020,Premium,Sedan,Red,Hybrid,Automatic,2500,23664
Vo35254118822,Ford,F-150,2024,Premium,Truck,Red,Petrol,Automatic,1500,21042
Bq09090422632,Toyota,Corolla,2018,LX,Sedan,White,Hybrid,Automatic,2500,20402
ck52220884598,BMW,3 Series,2021,XLE,Sedan,Blue,Electric,Manual,3000,42177
fj26733859897,BMW,5 Series,2024,SE,Sedan,Red,Electric,Automatic,1500,32785
Cw70834270255,Ford,Mustang,2025,XLE,Coupe,Blue,Diesel,Automatic,1500,61793
Ls84065731188,Honda,Accord,2024,SE,Sedan,Blue,Petrol,Manual,1800,45937
Gq46018746931,Honda,Accord,2023,XLE,Sedan,White,Petrol,Manual,3000,29808
iD38214019548,Tesla,Model 3,2019,XLE,Sedan,Red,Petrol,Manual,1800,75227
FQ66857668199,Ford,F-150,2018,Premium,Truck,Black,Petrol,Automatic,2000,27829
JD36966767326,Ford,Explorer,2021,XLE,SUV,Black,Electric,Manual,1500,21131
TW48022867769,BMW,3 Series,2021,Sport,Sedan,Blue,Diesel,Manual,3000,75648
OM79707835954,Toyota,RAV4,2020,Sport,SUV,Red,Petrol,Manual,2500,35778
mT87082263626,BMW,3 Series,2024,SE,Sedan,White,Petrol,Automatic,2500,66215
iR67384335637,Ford,F-150,2019,Sport,Truck,Red,Diesel,Manual,1800,33915
IV22710133149,BMW,5 Series,2022,SE,Sedan,White,Hybrid,Manual,2000,32868
Qe62898112717,Honda,Civic,2018,LX,Sedan,Blue,Diesel,Manual,1500,51749
Bq08032333132,Toyota,RAV4,2018,Sport,SUV,Red,Petrol,Automatic,2500,70760
zP02073492823,Tesla,Model Y,2025,XLE,SUV,Gray,Electric,Automatic,2000,73650
hk56818685779,Ford,Explorer,2020,LX,SUV,Black,Electric,Automatic,2000,77909
aH73303456372,Toyota,RAV4,2019,XLE,SUV,White,Diesel,Manual,3000,43406
jc39225595008,Toyota,Corolla,2023,Premium,Sedan,White,Diesel,Automatic,2000,60918
fc91710950954,Toyota,Corolla,2018,LX,Sedan,Blue,Petrol,Manual,3000,72871
kP35102217691,Tesla,Model Y,2023,SE,SUV,Black,Electric,Manual,2000,38736
UG46186091689,Toyota,Corolla,2024,Premium,Sedan,White,Petrol,Manual,1800,64380
iA97153145765,Ford,Mustang,2024,SE,Coupe,Black,Hybrid,Manual,1800,46809
cb77209331086,Toyota,Corolla,2021,Premium,Sedan,Blue,Electric,Automatic,3000,36363
DK44553330860,Toyota,Corolla,2025,SE,Sedan,White,Petrol,Automatic,3000,32883
Xx77919585425,Honda,Civic,2022,Premium,Sedan,Blue,Petrol,Automatic,2500,54992
ek14339047259,Tesla,Model S,2023,LX,Sedan,Red,Electric,Automatic,2000,55923
oT49613244127,Ford,F-150,2021,LX,Truck,Gray,Hybrid,Automatic,2000,76164
Aq01902129669,Toyota,Corolla,2025,Premium,Sedan,Red,Hybrid,Automatic,1800,43735
Ko27213821233,Honda,Civic,2020,Sport,Sedan,Gray,Electric,Automatic,2500,74124
MT16990180979,Toyota,RAV4,2021,SE,SUV,Blue,Electric,Manual,2000,67045
od18281603491,Tesla,Model 3,2020,Sport,Sedan,Gray,Diesel,Manual,1500,47151
DB57169128110,Ford,Explorer,2021,SE,SUV,Red,Diesel,Automatic,3000,78133
gb96932662085,Tesla,Model Y,2020,LX,SUV,Gray,Petrol,Manual,2500,37963
ix88874580031,Tesla,Model S,2022,Sport,Sedan,Gray,Petrol,Manual,2500,76628
Sw12399255531,Honda,Civic,2018,Premium,Sedan,Gray,Hybrid,Automatic,1800,73616
xo33402914060,Toyota,RAV4,2020,Premium,SUV,Red,Hybrid,Manual,2500,66218
Xm82656181725,Honda,Civic,2023,Sport,Sedan,Blue,Electric,Automatic,2500,22851
fI66557044725,Ford,Mustang,2021,LX,Coupe,Black,Diesel,Automatic,2500,66264
qW28987733010,Honda,Civic,2024,Premium,Sedan,Blue,Petrol,Manual,1500,23978
Vc97371446505,Toyota,Camry,2024,SE,Sedan,Red,Electric,Automatic,1800,61913
jV23397174800,Toyota,Camry,2019,Premium,Sedan,Blue,Electric,Manual,2500,74527
Wp22996912051,Ford,Mustang,2018,SE,Coupe,Black,Diesel,Automatic,3000,57103
XF63791105785,Honda,Accord,2019,Sport,Sedan,White,Hybrid,Automatic,1500,33898
ok10090056731,Honda,CR-V,2023,Sport,SUV,Gray,Electric,Manual,2500,75204
pJ44603447148,Ford,Explorer,2024,Premium,SUV,Black,Hybrid,Manual,2000,43151
nn58221863163,Tesla,Model Y,2023,XLE,SUV,Red,Electric,Manual,1800,40924
XO19754389003,Ford,Mustang,2023,LX,Coupe,Red,Diesel,Manual,1800,71441
iR64133230210,BMW,3 Series,2025,Premium,Sedan,Blue,Electric,Manual,2000,35882
nv54637201853,Tesla,Model 3,2021,XLE,Sedan,Blue,Electric,Automatic,1800,53871
qh29761829907,BMW,3 Series,2020,SE,Sedan,Black,Hybrid,Automatic,2000,43201
IX69336028415,Ford,Explorer,2022,LX,SUV,Gray,Hybrid,Automatic,1800,36099
nh02070098275,Toyota,RAV4,2024,SE,SUV,Red,Diesel,Automatic,2000,35739
hZ20842979569,Toyota,RAV4,2024,SE,SUV,White,Electric,Automatic,1800,62058
nA02810824156,BMW,3 Series,2025,XLE,Sedan,White,Electric,Automatic,2500,57218
WU49572861214,Honda,CR-V,2019,XLE,SUV,Blue,Hybrid,Automatic,3000,47869
gk73166541364,BMW,3 Series,2021,XLE,Sedan,Red,Electric,Automatic,1500,39798
WJ06398331821,BMW,5 Series,2022,LX,Sedan,Red,Hybrid,Manual,3000,46636
KT90264871122,Toyota,RAV4,2025,SE,SUV,White,Hybrid,Automatic,2000,72043
Cx80949570512,Ford,F-150,2019,Premium,Truck,Black,Hybrid,Automatic,3000,24335
YN80599114813,Ford,F-150,2020,XLE,Truck,Gray,Hybrid,Manual,2500,24671
ep73587132405,Toyota,Corolla,2025,XLE,Sedan,Gray,Petrol,Automatic,1500,76868
XI26160492344,Honda,Civic,2024,Premium,Sedan,Black,Petrol,Manual,2000,34207
nQ75749372507,BMW,3 Series,2023,Sport,Sedan,Red,Hybrid,Automatic,1800,72454
Gt91808398469,Honda,Civic,2021,XLE,Sedan,Gray,Diesel,Manual,2500,37669
oq82145234233,Tesla,Model S,2025,Sport,Sedan,Red,Petrol,Automatic,2500,46567
zl23890380290,Honda,Civic,2025,Sport,Sedan,Gray,Diesel,Automatic,1800,39118
rm67873546208,Honda,CR-V,2020,LX,SUV,Black,Hybrid,Automatic,2000,62176
tP03162722260,Toyota,Corolla,2025,Premium,Sedan,White,Electric,Automatic,1500,62383
Xl25069046919,Honda,Civic,2022,Sport,Sedan,Gray,Electric,Manual,1500,32486
YV63799994812,Ford,F-150,2018,Sport,Truck,Black,Petrol,Automatic,2500,74364
bn89276328128,BMW,3 Series,2023,LX,Sedan,Red,Electric,Automatic,1800,43884
In13967002191,Ford,Explorer,2018,SE,SUV,Black,Diesel,Manual,2000,53997
nb05956619680,Ford,Mustang,2019,Premium,Coupe,Gray,Electric,Automatic,1500,42555
oa19498640493,Honda,CR-V,2019,Sport,SUV,Black,Petrol,Manual,1800,68376
HB70574939049,BMW,5 Series,2019,XLE,Sedan,White,Diesel,Manual,1800,67359
oG20202849671,Toyota,Camry,2020,SE,Sedan,Red,Hybrid,Automatic,1800,66060
LV47152438806,Toyota,Corolla,2024,LX,Sedan,Blue,Petrol,Automatic,2000,67277
CL29417359558,Honda,CR-V,2024,Sport,SUV,Gray,Petrol,Manual,1800,36909
BX09630439879,Tesla,Model Y,2021,LX,SUV,White,Electric,Automatic,2500,59917
OZ63443237279,Toyota,Camry,2018,SE,Sedan,White,Diesel,Manual,2000,31386
Jp51551927831,Toyota,Camry,2024,Premium,Sedan,Red,Petrol,Manual,3000,52739
RN04330791634,Ford,F-150,2020,SE,Truck,Black,Diesel,Automatic,2000,46861
au91173911666,Toyota,Camry,2022,Sport,Sedan,Black,Diesel,Manual,2500,50318
Af83275531953,Honda,CR-V,2022,SE,SUV,Red,Petrol,Automatic,1500,60983
kG42173945348,Tesla,Model 3,2021,LX,Sedan,Gray,Petrol,Manual,2000,52288
hV46021199714,BMW,3 Series,2021,XLE,Sedan,Gray,Electric,Manual,3000,30059
vp88117734085,Tesla,Model 3,2023,SE,Sedan,Red,Diesel,Manual,3000,39800
Fh78019101003,BMW,5 Series,2024,SE,Sedan,Red,Diesel,Manual,1500,33525
gF87630752803,Toyota,Camry,2025,XLE,Sedan,Black,Petrol,Manual,3000,50505
WG12742550263,Ford,F-150,2021,Sport,Truck,White,Electric,Automatic,2500,79517
Ju88415345223,Tesla,Model S,2023,Premium,Sedan,Black,Diesel,Manual,2500,41709
Ki39025769639,Toyota,Camry,2024,Sport,Sedan,Blue,Diesel,Automatic,2000,57283
cH28302326181,BMW,5 Series,2021,XLE,Sedan,Black,Diesel,Automatic,1500,69646
eV23894374129,BMW,X5,2021,Premium,SUV,Gray,Petrol,Manual,1800,42321
ZT39753890476,Honda,CR-V,2025,SE,SUV,Black,Petrol,Manual,2500,52809
UD23114206804,Honda,Civic,2022,Premium,Sedan,White,Petrol,Automatic,2500,26150
Fq61143081881,Honda,Civic,2021,XLE,Sedan,White,Diesel,Automatic,1800,40146
KR34051744987,Toyota,Camry,2023,LX,Sedan,Gray,Electric,Automatic,1800,79968
kQ75374200546,Honda,Civic,2020,SE,Sedan,Gray,Electric,Manual,1800,44726
Xe59095145667,Ford,Mustang,2023,SE,Coupe,Gray,Diesel,Automatic,1800,43061
fI43408125453,Honda,CR-V,2018,Premium,SUV,White,Petrol,Automatic,1500,50576
mn62603203047,BMW,3 Series,2023,XLE,Sedan,Black,Petrol,Automatic,1800,66212
pd40761985745,BMW,3 Series,2019,Sport,Sedan,Red,Petrol,Automatic,1800,77213
sr77990767174,BMW,3 Series,2021,LX,Sedan,Black,Petrol,Automatic,1500,51876
bi24173491868,BMW,3 Series,2021,XLE,Sedan,Black,Electric,Automatic,2500,27060
ey43447258048,Toyota,Corolla,2018,LX,Sedan,Black,Petrol,Manual,2000,22546
Fl79823075433,Honda,Accord,2023,Premium,Sedan,Black,Electric,Manual,3000,61809
bA52961313115,BMW,5 Series,2020,Sport,Sedan,Black,Diesel,Automatic,1500,34463
Ed09961833532,Tesla,Model Y,2021,Sport,SUV,Red,Diesel,Manual,2000,26683
ET82263366499,Honda,CR-V,2025,Sport,SUV,Gray,Petrol,Manual,1800,44522
rk40693140467,BMW,5 Series,2023,XLE,Sedan,Black,Electric,Automatic,2500,29976
Ot37880244769,Ford,F-150,2022,XLE,Truck,Red,Hybrid,Automatic,1500,21854
Ur20251319050,Ford,F-150,2021,SE,Truck,Red,Hybrid,Manual,1800,51423
IL40051544217,Honda,Accord,2024,Sport,Sedan,Blue,Petrol,Automatic,1800,34307
Bn36438873573,BMW,X5,2023,XLE,SUV,Gray,Hybrid,Automatic,2500,78736
iu31488484032,Tesla,Model S,2020,XLE,Sedan,Blue,Hybrid,Automatic,3000,28965
ZM33340091616,Honda,CR-V,2021,LX,SUV,Black,Diesel,Automatic,1800,67090
KD36893112185,Ford,Explorer,2025,Premium,SUV,Black,Hybrid,Automatic,1800,69932
oU48142537357,BMW,X5,2023,LX,SUV,White,Diesel,Automatic,1800,32997
OO39183566288,Honda,Civic,2022,LX,Sedan,Red,Petrol,Automatic,2000,24566
yO52969989182,Honda,Civic,2025,Premium,Sedan,Gray,Electric,Automatic,2500,66029
XM82424584913,Toyota,RAV4,2018,XLE,SUV,Red,Hybrid,Manual,2000,56505
Xt02969559366,Honda,Civic,2020,LX,Sedan,Black,Petrol,Manual,3000,78310
qw14867360903,BMW,5 Series,2019,Premium,Sedan,Blue,Hybrid,Automatic,1800,47218
rN28674322962,Toyota,Corolla,2022,Premium,Sedan,Red,Petrol,Automatic,1800,25148
Tp73734225019,Tesla,Model 3,2020,Sport,Sedan,Gray,Electric,Manual,2500,26894
UQ84958024041,Tesla,Model S,2025,Sport,Sedan,Blue,Electric,Automatic,1500,56190
Ql39319134654,Ford,F-150,2021,SE,Truck,White,Electric,Manual,2500,42211
bg55348569177,Ford,F-150,2023,Sport,Truck,Black,Diesel,Manual,1500,57849
yc99068764946,Ford,Explorer,2019,LX,SUV,Blue,Diesel,Automatic,1500,41397
wz58640260903,Tesla,Model 3,2020,Premium,Sedan,Black,Electric,Manual,1500,76982
Gp51164468960,Tesla,Model S,2021,XLE,Sedan,White,Diesel,Manual,3000,61444
ik46613487368,BMW,3 Series,2019,LX,Sedan,Black,Hybrid,Automatic,3000,67782
Ty85515994163,Toyota,Camry,2021,LX,Sedan,Red,Petrol,Manual,1800,66790
qf17378012220,Tesla,Model 3,2018,Premium,Sedan,Black,Petrol,Automatic,1500,66921
MA80244745304,Tesla,Model Y,2022,SE,SUV,Gray,Diesel,Manual,1800,71293
ly22135663405,Ford,Mustang,2020,XLE,Coupe,Blue,Diesel,Automatic,1500,67002
yc89116290152,BMW,3 Series,2018,Sport,Sedan,Blue,Diesel,Manual,1800,56577
xj58394474387,BMW,X5,2018,LX,SUV,Gray,Electric,Manual,2500,78246
Mr85791126217,BMW,3 Series,2025,SE,Sedan,Gray,Electric,Manual,1800,61585
HF51468944787,BMW,3 Series,2023,Premium,Sedan,Gray,Petrol,Manual,3000,30499
aR83053656178,Ford,Mustang,2023,SE,Coupe,Blue,Diesel,Manual,3000,53068
Ql46040959348,BMW,X5,2019,LX,SUV,White,Petrol,Automatic,1800,60345
wr20336829844,Tesla,Model 3,2021,SE,Sedan,White,Hybrid,Automatic,1500,44573
uH45612095698,Toyota,Camry,2024,XLE,Sedan,Gray,Hybrid,Automatic,2500,44514
zI35919280142,Ford,F-150,2024,SE,Truck,White,Electric,Manual,2000,27737
Au69297278368,Toyota,Corolla,2020,XLE,Sedan,White,Petrol,Manual,2500,41183
